Tag	Gname	PromoterID	CTRL1	CTRL2	CTRL.mean	A1	A2	A.mean	relative_activity_diff	p_value
Switching	Dclk1	6646	0.96	0.979166666666667	0.969583333333333	0.708333333333334	0.647058823529411	0.677696078431373	-0.291887254901961	9.49609456972629e-05
Switching	Dclk1	6647	0.04	0.0208333333333334	0.0304166666666667	0.291666666666666	0.352941176470589	0.322303921568628	0.291887254901961	9.49609456972587e-05
Up	Ddah1	6697	0.988805970149254	0.976351351351351	0.982578660750303	0.832	0.853591160220995	0.842795580110497	-0.139783080639805	4.13936663412233e-05
Up	Ddah1	6698	0.0111940298507463	0.0236486486486486	0.0174213392496974	0.168	0.146408839779005	0.157204419889503	0.139783080639805	4.13936663412237e-05
Switching	Dpp9	7491	0.25	0.210526315789474	0.230263157894737	0.0689655172413793	0.0172413793103448	0.0431034482758621	-0.187159709618875	0.000569821114994355
Switching	Dpp9	7492	0.75	0.789473684210526	0.769736842105263	0.931034482758621	0.982758620689655	0.956896551724138	0.187159709618875	0.00056982111499435
Switching	Eef1akmt2	7852	0.0392156862745099	0.111111111111111	0.0751633986928105	0.5	0.545454545454546	0.522727272727273	0.447563874034462	5.32830671924452e-05
Switching	Eef1akmt2	7853	0.96078431372549	0.888888888888889	0.92483660130719	0.5	0.454545454545455	0.477272727272727	-0.447563874034462	5.32830671924461e-05
Down	Elf2	8078	0.27027027027027	0.222222222222222	0.246246246246246	0.111111111111111	0.0833333333333335	0.0972222222222222	-0.149024024024024	0.000743331380530637
Switching	Epc1	8290	0.480000000000001	0.875	0.677500000000001	0.272727272727272	0.461538461538462	0.367132867132867	-0.310367132867134	0.0700107622042366
Switching	Epc1	8291	0.519999999999999	0.125	0.322499999999999	0.727272727272728	0.538461538461538	0.632867132867133	0.310367132867134	0.0700107622042366
Switching	Fam131a	8747	0.0833333333333334	0	0.0416666666666667	0.666666666666667	0.647058823529412	0.656862745098039	0.615196078431373	1.54580851172458e-05
Switching	Fam131a	8748	0.916666666666667	1	0.958333333333333	0.333333333333333	0.352941176470588	0.343137254901961	-0.615196078431372	1.54580851172458e-05
Up	Fbxl3	9105	0.0655737704918032	0.118421052631579	0.091997411561691	0.266666666666667	0.241379310344827	0.254022988505747	0.162025576944056	0.000663310716929718
Up	Fbxl3	9106	0.934426229508197	0.881578947368421	0.908002588438309	0.733333333333333	0.758620689655173	0.745977011494253	-0.162025576944056	0.00066331071692971
Down	Fhl1	9388	0.539267015706807	0.59601593625498	0.567641475980893	0.352657004830918	0.36078431372549	0.356720659278204	-0.210920816702689	0.00021835312192568
Down	Fhl1	9390	0.327748691099476	0.297211155378486	0.312479923238981	0.536231884057971	0.533333333333333	0.534782608695652	0.222302685456671	1.49470756496907e-05
Up	Fis1	9421	0.903083700440529	0.902542372881356	0.902813036660942	0.815789473684211	0.765853658536584	0.790821566110398	-0.111991470550544	0.00148007952570912
Up	Fis1	9422	0.0969162995594714	0.0974576271186444	0.0971869633390579	0.184210526315789	0.234146341463416	0.209178433889602	0.111991470550544	0.00148007952570905
Up	Flrt2	9473	0.3	0.333333333333333	0.316666666666667	0.75	0.517857142857143	0.633928571428571	0.317261904761904	0.0094041990405917
Up	Flrt2	9474	0.7	0.666666666666667	0.683333333333333	0.250000000000001	0.482142857142857	0.366071428571429	-0.317261904761904	0.00940419904059167
Up	Fxyd5	9805	0.226190476190477	0.247787610619469	0.236989043404973	0.410788381742738	0.387272727272727	0.399030554507733	0.16204151110276	6.14726783584853e-05
Up	Fxyd5	9806	0.773809523809524	0.752212389380531	0.763010956595027	0.589211618257262	0.612727272727273	0.600969445492267	-0.16204151110276	6.14726783584853e-05
Down	Gtse1	11092	0.255813953488372	0.352941176470589	0.30437756497948	0.416666666666667	0.593750000000001	0.505208333333334	0.200830768353853	0.0261845896111109
Down	Gtse1	11093	0.744186046511628	0.647058823529411	0.69562243502052	0.583333333333333	0.406249999999999	0.494791666666666	-0.200830768353853	0.0261845896111111
Switching	Gulp1	11127	0.888888888888889	0.96	0.924444444444444	0.571428571428572	0.624999999999999	0.598214285714285	-0.326230158730159	0.000221878864564358
Switching	Gulp1	11128	0.111111111111111	0.04	0.0755555555555556	0.428571428571429	0.375000000000001	0.401785714285715	0.326230158730159	0.000221878864564359
Down	Hpcal1	11773	0.696969696969697	0.75187969924812	0.724424698108909	0.91304347826087	0.932203389830508	0.922623434045689	0.19819873593678	0.000294641147179687
Down	Hpcal1	11774	0.303030303030303	0.24812030075188	0.275575301891091	0.0869565217391305	0.0677966101694916	0.077376565954311	-0.19819873593678	0.000294641147179693
